date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2024/09/05,WMAZ,Jul,2025,3910,ZAR/Ton,ZAR,9,1296,JSE
2024/09/04,WMAZ,Jul,2025,3899,ZAR/Ton,ZAR,40,1289,JSE
2024/09/03,WMAZ,Jul,2025,3848,ZAR/Ton,ZAR,55,1281,JSE
2024/09/02,WMAZ,Jul,2025,3859,ZAR/Ton,ZAR,7,1290,JSE
2024/08/30,WMAZ,Jul,2025,3855,ZAR/Ton,ZAR,36,1290,JSE
2024/08/29,WMAZ,Jul,2025,3845,ZAR/Ton,ZAR,69,1272,JSE
2024/08/28,WMAZ,Jul,2025,3885,ZAR/Ton,ZAR,123,1252,JSE
2024/08/27,WMAZ,Jul,2025,3830,ZAR/Ton,ZAR,74,1221,JSE
2024/08/26,WMAZ,Jul,2025,3834,ZAR/Ton,ZAR,81,1204,JSE
2024/08/23,WMAZ,Jul,2025,3900,ZAR/Ton,ZAR,76,1186,JSE
2024/08/22,WMAZ,Jul,2025,3949,ZAR/Ton,ZAR,27,1159,JSE
2024/08/21,WMAZ,Jul,2025,3933,ZAR/Ton,ZAR,82,1133,JSE
2024/08/20,WMAZ,Jul,2025,3930,ZAR/Ton,ZAR,50,1107,JSE
2024/08/19,WMAZ,Jul,2025,3928,ZAR/Ton,ZAR,26,1071,JSE
2024/08/16,WMAZ,Jul,2025,3951,ZAR/Ton,ZAR,19,1064,JSE
2024/08/15,WMAZ,Jul,2025,4000,ZAR/Ton,ZAR,11,1058,JSE
2024/08/14,WMAZ,Jul,2025,3970,ZAR/Ton,ZAR,31,1050,JSE
2024/08/13,WMAZ,Jul,2025,4010,ZAR/Ton,ZAR,15,1035,JSE
2024/08/12,WMAZ,Jul,2025,3984,ZAR/Ton,ZAR,35,1036,JSE
2024/08/08,WMAZ,Jul,2025,4000,ZAR/Ton,ZAR,42,1013,JSE
2024/08/07,WMAZ,Jul,2025,4043,ZAR/Ton,ZAR,113,993,JSE
2024/08/06,WMAZ,Jul,2025,3966,ZAR/Ton,ZAR,142,990,JSE
2024/08/05,WMAZ,Jul,2025,4008,ZAR/Ton,ZAR,54,931,JSE
2024/08/02,WMAZ,Jul,2025,3981,ZAR/Ton,ZAR,16,926,JSE
2024/08/01,WMAZ,Jul,2025,4030,ZAR/Ton,ZAR,129,917,JSE
2024/07/31,WMAZ,Jul,2025,4073,ZAR/Ton,ZAR,53,897,JSE
2024/07/30,WMAZ,Jul,2025,4101,ZAR/Ton,ZAR,58,897,JSE
2024/07/29,WMAZ,Jul,2025,4100,ZAR/Ton,ZAR,23,849,JSE
2024/07/26,WMAZ,Jul,2025,4125,ZAR/Ton,ZAR,12,836,JSE
2024/07/25,WMAZ,Jul,2025,4120,ZAR/Ton,ZAR,36,836,JSE
2024/07/24,WMAZ,Jul,2025,4084,ZAR/Ton,ZAR,44,824,JSE
2024/07/23,WMAZ,Jul,2025,4093,ZAR/Ton,ZAR,21,806,JSE
2024/07/22,WMAZ,Jul,2025,4093,ZAR/Ton,ZAR,9,806,JSE
2024/07/19,WMAZ,Jul,2025,4040,ZAR/Ton,ZAR,4,802,JSE
2024/07/18,WMAZ,Jul,2025,4083,ZAR/Ton,ZAR,132,801,JSE
2024/07/17,WMAZ,Jul,2025,4110,ZAR/Ton,ZAR,109,777,JSE
2024/07/16,WMAZ,Jul,2025,4120,ZAR/Ton,ZAR,106,784,JSE
