date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2022/04/08,CORN,Sep,2022,4242,ZAR/Ton,ZAR,290,228,JSE
2022/04/07,CORN,Sep,2022,4213,ZAR/Ton,ZAR,2,373,JSE
2022/04/06,CORN,Sep,2022,4199,ZAR/Ton,ZAR,,374,JSE
2022/04/05,CORN,Sep,2022,4184,ZAR/Ton,ZAR,27,374,JSE
2022/04/04,CORN,Sep,2022,4118,ZAR/Ton,ZAR,,401,JSE
2022/04/01,CORN,Sep,2022,4058,ZAR/Ton,ZAR,,401,JSE
2022/03/31,CORN,Sep,2022,3919,ZAR/Ton,ZAR,200,401,JSE
2022/03/30,CORN,Sep,2022,3915,ZAR/Ton,ZAR,,458,JSE
2022/03/29,CORN,Sep,2022,3995,ZAR/Ton,ZAR,138,527,JSE
2022/03/28,CORN,Sep,2022,3963,ZAR/Ton,ZAR,,527,JSE
2022/03/25,CORN,Sep,2022,3973,ZAR/Ton,ZAR,2,527,JSE
2022/03/24,CORN,Sep,2022,4074,ZAR/Ton,ZAR,,527,JSE
2022/03/23,CORN,Sep,2022,4091,ZAR/Ton,ZAR,,527,JSE
2022/03/22,CORN,Sep,2022,4091,ZAR/Ton,ZAR,13,527,JSE
2022/03/18,CORN,Sep,2022,3985,ZAR/Ton,ZAR,,527,JSE
2022/03/17,CORN,Sep,2022,3921,ZAR/Ton,ZAR,,527,JSE
2022/03/16,CORN,Sep,2022,4028,ZAR/Ton,ZAR,,527,JSE
2022/03/15,CORN,Sep,2022,4028,ZAR/Ton,ZAR,,527,JSE
2022/03/14,CORN,Sep,2022,4061,ZAR/Ton,ZAR,,527,JSE
2022/03/11,CORN,Sep,2022,4061,ZAR/Ton,ZAR,456,527,JSE
2022/03/10,CORN,Sep,2022,4029,ZAR/Ton,ZAR,175,277,JSE
2022/03/08,CORN,Sep,2022,4091,ZAR/Ton,ZAR,,112,JSE
2022/03/07,CORN,Sep,2022,4176,ZAR/Ton,ZAR,,112,JSE
2022/03/04,CORN,Sep,2022,3966,ZAR/Ton,ZAR,80,112,JSE
2022/03/03,CORN,Sep,2022,3878,ZAR/Ton,ZAR,,32,JSE
2022/03/02,CORN,Sep,2022,4051,ZAR/Ton,ZAR,32,32,JSE
2022/03/01,CORN,Sep,2022,3914,ZAR/Ton,ZAR,,1,JSE
2022/02/28,CORN,Sep,2022,3801,ZAR/Ton,ZAR,,1,JSE
2022/02/25,CORN,Sep,2022,3755,ZAR/Ton,ZAR,,1,JSE
2022/02/24,CORN,Sep,2022,4068,ZAR/Ton,ZAR,,1,JSE
2022/02/23,CORN,Sep,2022,3762,ZAR/Ton,ZAR,,1,JSE
2022/02/22,CORN,Sep,2022,3772,ZAR/Ton,ZAR,1,1,JSE
2022/02/21,CORN,Sep,2022,3675,ZAR/Ton,ZAR,,1,JSE
2022/02/18,CORN,Sep,2022,3659,ZAR/Ton,ZAR,,1,JSE
2022/02/17,CORN,Sep,2022,3659,ZAR/Ton,ZAR,,1,JSE
2022/02/16,CORN,Sep,2022,3664,ZAR/Ton,ZAR,,1,JSE
