date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2021/08/03,SOYB,May,2022,7350,ZAR/Ton,ZAR,27,548,JSE
2021/08/02,SOYB,May,2022,7400,ZAR/Ton,ZAR,10,535,JSE
2021/07/30,SOYB,May,2022,7600,ZAR/Ton,ZAR,5,532,JSE
2021/07/29,SOYB,May,2022,7590,ZAR/Ton,ZAR,165,527,JSE
2021/07/28,SOYB,May,2022,7560,ZAR/Ton,ZAR,36,519,JSE
2021/07/27,SOYB,May,2022,7660,ZAR/Ton,ZAR,56,500,JSE
2021/07/26,SOYB,May,2022,7500,ZAR/Ton,ZAR,35,469,JSE
2021/07/23,SOYB,May,2022,7448,ZAR/Ton,ZAR,6,454,JSE
2021/07/22,SOYB,May,2022,7430,ZAR/Ton,ZAR,50,454,JSE
2021/07/21,SOYB,May,2022,7600,ZAR/Ton,ZAR,61,430,JSE
2021/07/20,SOYB,May,2022,7550,ZAR/Ton,ZAR,16,402,JSE
2021/07/19,SOYB,May,2022,7550,ZAR/Ton,ZAR,16,386,JSE
2021/07/16,SOYB,May,2022,7450,ZAR/Ton,ZAR,28,374,JSE
2021/07/15,SOYB,May,2022,7450,ZAR/Ton,ZAR,91,354,JSE
2021/07/14,SOYB,May,2022,7450,ZAR/Ton,ZAR,38,301,JSE
2021/07/13,SOYB,May,2022,7329,ZAR/Ton,ZAR,6,264,JSE
2021/07/12,SOYB,May,2022,7220,ZAR/Ton,ZAR,48,262,JSE
2021/07/09,SOYB,May,2022,7198,ZAR/Ton,ZAR,5,216,JSE
2021/07/08,SOYB,May,2022,7208,ZAR/Ton,ZAR,6,211,JSE
2021/07/07,SOYB,May,2022,7200,ZAR/Ton,ZAR,20,206,JSE
2021/07/06,SOYB,May,2022,7300,ZAR/Ton,ZAR,4,196,JSE
2021/07/05,SOYB,May,2022,7347,ZAR/Ton,ZAR,0,192,JSE
2021/07/02,SOYB,May,2022,7350,ZAR/Ton,ZAR,130,192,JSE
2021/07/01,SOYB,May,2022,7210,ZAR/Ton,ZAR,6,100,JSE
2021/06/30,SOYB,May,2022,7000,ZAR/Ton,ZAR,22,94,JSE
2021/06/29,SOYB,May,2022,6970,ZAR/Ton,ZAR,11,82,JSE
2021/06/28,SOYB,May,2022,6900,ZAR/Ton,ZAR,1,71,JSE
2021/06/25,SOYB,May,2022,6900,ZAR/Ton,ZAR,8,70,JSE
2021/06/24,SOYB,May,2022,6900,ZAR/Ton,ZAR,0,67,JSE
2021/06/23,SOYB,May,2022,6950,ZAR/Ton,ZAR,4,67,JSE
2021/06/22,SOYB,May,2022,6950,ZAR/Ton,ZAR,0,63,JSE
2021/06/21,SOYB,May,2022,6920,ZAR/Ton,ZAR,0,63,JSE
2021/06/18,SOYB,May,2022,6920,ZAR/Ton,ZAR,0,63,JSE
2021/06/17,SOYB,May,2022,6960,ZAR/Ton,ZAR,2,63,JSE
2021/06/15,SOYB,May,2022,7100,ZAR/Ton,ZAR,8,61,JSE
2021/06/14,SOYB,May,2022,7100,ZAR/Ton,ZAR,15,57,JSE
2021/06/11,SOYB,May,2022,7180,ZAR/Ton,ZAR,2,47,JSE
2021/06/10,SOYB,May,2022,7270,ZAR/Ton,ZAR,13,45,JSE
2021/06/09,SOYB,May,2022,7120,ZAR/Ton,ZAR,0,34,JSE
2021/06/08,SOYB,May,2022,7120,ZAR/Ton,ZAR,0,34,JSE
2021/06/07,SOYB,May,2022,7120,ZAR/Ton,ZAR,5,34,JSE
2021/06/04,SOYB,May,2022,7050,ZAR/Ton,ZAR,0,31,JSE
2021/06/03,SOYB,May,2022,7020,ZAR/Ton,ZAR,0,31,JSE
2021/06/02,SOYB,May,2022,7020,ZAR/Ton,ZAR,0,31,JSE
2021/06/01,SOYB,May,2022,7020,ZAR/Ton,ZAR,1,31,JSE
2021/05/31,SOYB,May,2022,7050,ZAR/Ton,ZAR,0,30,JSE
2021/05/28,SOYB,May,2022,7050,ZAR/Ton,ZAR,2,30,JSE
2021/05/27,SOYB,May,2022,6975,ZAR/Ton,ZAR,0,29,JSE
2021/05/26,SOYB,May,2022,7020,ZAR/Ton,ZAR,0,29,JSE
2021/05/25,SOYB,May,2022,7055,ZAR/Ton,ZAR,0,29,JSE
2021/05/24,SOYB,May,2022,7055,ZAR/Ton,ZAR,0,29,JSE
2021/05/21,SOYB,May,2022,7095,ZAR/Ton,ZAR,,29,JSE
2021/05/20,SOYB,May,2022,7150,ZAR/Ton,ZAR,,29,JSE
2021/05/19,SOYB,May,2022,7150,ZAR/Ton,ZAR,,29,JSE
2021/05/18,SOYB,May,2022,7200,ZAR/Ton,ZAR,,29,JSE
2021/05/17,SOYB,May,2022,7200,ZAR/Ton,ZAR,8,29,JSE
2021/05/14,SOYB,May,2022,7250,ZAR/Ton,ZAR,6,21,JSE
2021/05/13,SOYB,May,2022,7336,ZAR/Ton,ZAR,2,15,JSE
2021/05/12,SOYB,May,2022,7250,ZAR/Ton,ZAR,,13,JSE
2021/05/11,SOYB,May,2022,7250,ZAR/Ton,ZAR,12,13,JSE
2021/05/10,SOYB,May,2022,7300,ZAR/Ton,ZAR,,3,JSE
2021/05/07,SOYB,May,2022,7300,ZAR/Ton,ZAR,,3,JSE
2021/05/06,SOYB,May,2022,7300,ZAR/Ton,ZAR,,3,JSE
2021/05/05,SOYB,May,2022,7300,ZAR/Ton,ZAR,49,3,JSE
2021/05/04,SOYB,May,2022,7200,ZAR/Ton,ZAR,2,2,JSE
2021/05/24,SOYB,May,2021,7060,ZAR/Ton,ZAR,1308,0,JSE
2021/05/21,SOYB,May,2021,7141,ZAR/Ton,ZAR,572,525,JSE
2021/05/20,SOYB,May,2021,7266,ZAR/Ton,ZAR,1416,739,JSE
2021/05/19,SOYB,May,2021,7383,ZAR/Ton,ZAR,672,920,JSE
2021/05/18,SOYB,May,2021,7513,ZAR/Ton,ZAR,749,960,JSE
2021/05/17,SOYB,May,2021,7521,ZAR/Ton,ZAR,1037,1109,JSE
2021/05/14,SOYB,May,2021,7622,ZAR/Ton,ZAR,444,1307,JSE
2021/05/13,SOYB,May,2021,7641,ZAR/Ton,ZAR,1875,1376,JSE
