date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2007/12/31,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/28,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/27,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/24,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/21,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/20,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/19,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/18,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/14,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/13,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/12,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/11,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/10,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/07,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/06,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/05,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/04,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/12/03,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/11/30,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/11/29,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/11/28,WEAT,Sep,2008,2898,ZAR/Ton,ZAR,,387,JSE
2007/11/27,WEAT,Sep,2008,2880,ZAR/Ton,ZAR,,387,JSE
2007/11/26,WEAT,Sep,2008,2880,ZAR/Ton,ZAR,,387,JSE
2007/11/23,WEAT,Sep,2008,2880,ZAR/Ton,ZAR,,387,JSE
2007/11/22,WEAT,Sep,2008,2880,ZAR/Ton,ZAR,,384,JSE
2007/11/21,WEAT,Sep,2008,2880,ZAR/Ton,ZAR,,384,JSE
2007/11/20,WEAT,Sep,2008,2835,ZAR/Ton,ZAR,,307,JSE
2007/11/19,WEAT,Sep,2008,2815,ZAR/Ton,ZAR,,200,JSE
2007/11/16,WEAT,Sep,2008,2815,ZAR/Ton,ZAR,,200,JSE
2007/11/15,WEAT,Sep,2008,2815,ZAR/Ton,ZAR,,200,JSE
2007/09/18,WEAT,Sep,2007,3460,ZAR/Ton,ZAR,,0,JSE
2007/09/17,WEAT,Sep,2007,3449,ZAR/Ton,ZAR,,166,JSE
2007/09/14,WEAT,Sep,2007,3450,ZAR/Ton,ZAR,,167,JSE
2007/09/13,WEAT,Sep,2007,3450,ZAR/Ton,ZAR,,199,JSE
2007/09/12,WEAT,Sep,2007,3430,ZAR/Ton,ZAR,,219,JSE
2007/09/11,WEAT,Sep,2007,3350,ZAR/Ton,ZAR,,239,JSE
2007/09/10,WEAT,Sep,2007,3445,ZAR/Ton,ZAR,,236,JSE
2007/09/07,WEAT,Sep,2007,3310,ZAR/Ton,ZAR,,248,JSE
2007/09/06,WEAT,Sep,2007,3370,ZAR/Ton,ZAR,,248,JSE
2007/09/05,WEAT,Sep,2007,3300,ZAR/Ton,ZAR,,320,JSE
2007/09/04,WEAT,Sep,2007,3200,ZAR/Ton,ZAR,,391,JSE
2007/09/03,WEAT,Sep,2007,3100,ZAR/Ton,ZAR,,408,JSE
2007/08/31,WEAT,Sep,2007,3135,ZAR/Ton,ZAR,,587,JSE
2007/08/30,WEAT,Sep,2007,3105,ZAR/Ton,ZAR,,614,JSE
2007/08/29,WEAT,Sep,2007,3105,ZAR/Ton,ZAR,,692,JSE
