date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2022/06/07,SUNS,Dec,2022,11360,ZAR/Ton,ZAR,249,1072,JSE
2022/06/06,SUNS,Dec,2022,11393,ZAR/Ton,ZAR,308,1037,JSE
2022/06/03,SUNS,Dec,2022,11437,ZAR/Ton,ZAR,80,763,JSE
2022/06/02,SUNS,Dec,2022,11278,ZAR/Ton,ZAR,42,705,JSE
2022/06/01,SUNS,Dec,2022,11267,ZAR/Ton,ZAR,22,666,JSE
2022/05/31,SUNS,Dec,2022,11394,ZAR/Ton,ZAR,203,658,JSE
2022/05/30,SUNS,Dec,2022,11386,ZAR/Ton,ZAR,17,537,JSE
2022/05/27,SUNS,Dec,2022,11493,ZAR/Ton,ZAR,28,534,JSE
2022/05/26,SUNS,Dec,2022,11455,ZAR/Ton,ZAR,19,523,JSE
2022/05/25,SUNS,Dec,2022,11318,ZAR/Ton,ZAR,33,518,JSE
2022/05/24,SUNS,Dec,2022,11465,ZAR/Ton,ZAR,74,516,JSE
2022/05/23,SUNS,Dec,2022,11556,ZAR/Ton,ZAR,161,509,JSE
2022/05/20,SUNS,Dec,2022,11422,ZAR/Ton,ZAR,47,427,JSE
2022/05/19,SUNS,Dec,2022,11260,ZAR/Ton,ZAR,35,405,JSE
2022/05/18,SUNS,Dec,2022,11156,ZAR/Ton,ZAR,14,383,JSE
2022/05/17,SUNS,Dec,2022,11027,ZAR/Ton,ZAR,31,381,JSE
2022/05/16,SUNS,Dec,2022,11111,ZAR/Ton,ZAR,16,367,JSE
2022/05/13,SUNS,Dec,2022,10920,ZAR/Ton,ZAR,1,359,JSE
2022/05/12,SUNS,Dec,2022,10907,ZAR/Ton,ZAR,55,358,JSE
2022/05/11,SUNS,Dec,2022,10885,ZAR/Ton,ZAR,77,336,JSE
2022/05/10,SUNS,Dec,2022,10955,ZAR/Ton,ZAR,70,292,JSE
2022/05/09,SUNS,Dec,2022,10943,ZAR/Ton,ZAR,18,266,JSE
2022/05/06,SUNS,Dec,2022,10911,ZAR/Ton,ZAR,33,256,JSE
2022/05/05,SUNS,Dec,2022,10810,ZAR/Ton,ZAR,98,228,JSE
2022/05/04,SUNS,Dec,2022,10920,ZAR/Ton,ZAR,18,130,JSE
2022/05/03,SUNS,Dec,2022,10980,ZAR/Ton,ZAR,0,119,JSE
2022/04/29,SUNS,Dec,2022,11060,ZAR/Ton,ZAR,21,119,JSE
2022/04/28,SUNS,Dec,2022,10978,ZAR/Ton,ZAR,14,117,JSE
2022/04/26,SUNS,Dec,2022,10986,ZAR/Ton,ZAR,6,105,JSE
2022/04/25,SUNS,Dec,2022,11206,ZAR/Ton,ZAR,1,99,JSE
2022/04/22,SUNS,Dec,2022,11271,ZAR/Ton,ZAR,11,100,JSE
2022/04/21,SUNS,Dec,2022,11278,ZAR/Ton,ZAR,0,89,JSE
2022/04/20,SUNS,Dec,2022,11297,ZAR/Ton,ZAR,5,89,JSE
2022/04/19,SUNS,Dec,2022,11386,ZAR/Ton,ZAR,0,89,JSE
2022/04/14,SUNS,Dec,2022,11247,ZAR/Ton,ZAR,18,89,JSE
2022/04/13,SUNS,Dec,2022,11120,ZAR/Ton,ZAR,10,72,JSE
2022/04/12,SUNS,Dec,2022,11005,ZAR/Ton,ZAR,1,66,JSE
2022/04/11,SUNS,Dec,2022,10838,ZAR/Ton,ZAR,0,65,JSE
2022/04/08,SUNS,Dec,2022,10921,ZAR/Ton,ZAR,0,65,JSE
2022/04/07,SUNS,Dec,2022,10940,ZAR/Ton,ZAR,0,65,JSE
2022/04/06,SUNS,Dec,2022,11070,ZAR/Ton,ZAR,0,65,JSE
2022/04/05,SUNS,Dec,2022,11070,ZAR/Ton,ZAR,4,65,JSE
2022/04/04,SUNS,Dec,2022,11050,ZAR/Ton,ZAR,18,61,JSE
2022/04/01,SUNS,Dec,2022,11048,ZAR/Ton,ZAR,24,55,JSE
2022/03/31,SUNS,Dec,2022,11234,ZAR/Ton,ZAR,0,54,JSE
2022/03/30,SUNS,Dec,2022,11331,ZAR/Ton,ZAR,0,54,JSE
2022/03/29,SUNS,Dec,2022,11519,ZAR/Ton,ZAR,3,54,JSE
2022/03/28,SUNS,Dec,2022,11519,ZAR/Ton,ZAR,15,52,JSE
2022/03/25,SUNS,Dec,2022,11299,ZAR/Ton,ZAR,0,47,JSE
2022/03/24,SUNS,Dec,2022,11226,ZAR/Ton,ZAR,6,47,JSE
2022/03/23,SUNS,Dec,2022,11300,ZAR/Ton,ZAR,1,42,JSE
2022/03/22,SUNS,Dec,2022,11256,ZAR/Ton,ZAR,9,41,JSE
2022/03/18,SUNS,Dec,2022,10962,ZAR/Ton,ZAR,2,33,JSE
2022/03/17,SUNS,Dec,2022,10954,ZAR/Ton,ZAR,0,31,JSE
2022/03/16,SUNS,Dec,2022,11284,ZAR/Ton,ZAR,0,31,JSE
2022/03/15,SUNS,Dec,2022,11545,ZAR/Ton,ZAR,0,31,JSE
2022/03/14,SUNS,Dec,2022,11875,ZAR/Ton,ZAR,2,31,JSE
2022/03/11,SUNS,Dec,2022,12068,ZAR/Ton,ZAR,12,29,JSE
2022/03/10,SUNS,Dec,2022,12288,ZAR/Ton,ZAR,4,29,JSE
2022/03/09,SUNS,Dec,2022,12670,ZAR/Ton,ZAR,12,25,JSE
2022/03/08,SUNS,Dec,2022,12340,ZAR/Ton,ZAR,2,19,JSE
2022/03/07,SUNS,Dec,2022,12010,ZAR/Ton,ZAR,0,17,JSE
2022/03/04,SUNS,Dec,2022,11680,ZAR/Ton,ZAR,8,17,JSE
2022/03/03,SUNS,Dec,2022,11350,ZAR/Ton,ZAR,0,17,JSE
2022/03/02,SUNS,Dec,2022,11020,ZAR/Ton,ZAR,5,17,JSE
2022/03/01,SUNS,Dec,2022,10690,ZAR/Ton,ZAR,2,14,JSE
2022/02/28,SUNS,Dec,2022,10470,ZAR/Ton,ZAR,4,12,JSE
2022/02/25,SUNS,Dec,2022,10250,ZAR/Ton,ZAR,8,8,JSE
2021/12/23,SUNS,Dec,2021,11600,ZAR/Ton,ZAR,13,13,JSE
2021/12/22,SUNS,Dec,2021,11600,ZAR/Ton,ZAR,21,13,JSE
2021/12/21,SUNS,Dec,2021,11370,ZAR/Ton,ZAR,14,58,JSE
2021/12/20,SUNS,Dec,2021,11400,ZAR/Ton,ZAR,40,65,JSE
2021/12/17,SUNS,Dec,2021,11405,ZAR/Ton,ZAR,52,87,JSE
2021/12/15,SUNS,Dec,2021,11430,ZAR/Ton,ZAR,58,162,JSE
2021/12/14,SUNS,Dec,2021,11500,ZAR/Ton,ZAR,58,187,JSE
2021/12/13,SUNS,Dec,2021,11450,ZAR/Ton,ZAR,65,238,JSE
2021/12/10,SUNS,Dec,2021,11257,ZAR/Ton,ZAR,27,247,JSE
2021/12/09,SUNS,Dec,2021,11373,ZAR/Ton,ZAR,238,258,JSE
2021/12/08,SUNS,Dec,2021,11236,ZAR/Ton,ZAR,51,328,JSE
2021/12/07,SUNS,Dec,2021,11400,ZAR/Ton,ZAR,73,368,JSE
2021/12/06,SUNS,Dec,2021,11217,ZAR/Ton,ZAR,29,373,JSE
2021/12/03,SUNS,Dec,2021,11200,ZAR/Ton,ZAR,209,398,JSE
